scenario,true_dist_m,dispatched,loc_m,error_m,anomaly,score,psi,gps_lat,gps_lon
1,92.94,False,,,,3.0715,0.0,,
2,59.6,False,,,,3.3214,0.0,,
3,54.25,False,,,,4.4398,0.0,,
4,36.78,False,,,,3.32,0.0,,
5,12.01,False,,,,3.7452,0.0,,
6,113.33,False,,,,4.0617,0.0,,
7,22.08,False,,,,3.7578,0.0,,
8,41.15,False,,,,4.2437,0.0,,
9,22.44,False,,,,3.1518,0.0,,
10,118.22,False,,,,4.3594,0.0,,
11,46.28,False,,,,3.2157,0.0,,
12,116.38,False,,,,1.4889,0.0,,
13,20.53,False,,,,3.3081,0.0,,
14,59.64,False,,,,2.2872,0.0,,
15,45.95,False,,,,2.1993,0.0,,
16,91.93,False,,,,2.1816,0.0,,
17,119.2,False,,,,1.9341,0.0,,
18,12.95,False,,,,1.2359,0.0,,
19,12.76,False,,,,3.936,0.0,,
20,53.95,False,,,,2.2347,0.0,,
21,103.07,False,,,,1.8298,0.0,,
22,75.41,False,,,,3.9131,0.0,,
23,5.87,False,,,,1.4449,0.0,,
24,76.16,False,,,,3.051,0.0,,
25,54.74,False,,,,1.9901,0.0,,
26,81.5,False,,,,2.8,0.0,,
27,71.42,False,,,,3.1793,0.0,,
28,82.95,False,,,,3.5009,0.0,,
29,112.49,False,,,,4.1624,0.0,,
30,15.09,False,,,,3.5411,0.0,,
31,43.59,False,,,,2.1352,0.0,,
32,101.86,False,,,,4.3068,0.0,,
33,72.22,False,,,,4.588,0.0,,
34,115.41,False,,,,1.467,0.0,,
35,109.79,False,,,,2.4278,0.0,,
36,58.1,False,,,,4.373,0.0,,
37,54.55,False,,,,3.4334,0.0,,
38,76.86,False,,,,2.3956,0.0,,
39,119.85,False,,,,3.245,0.0,,
40,12.19,False,,,,4.2216,0.0,,
41,117.97,False,,,,3.0901,0.0,,
42,33.16,False,,,,3.4578,0.0,,
43,113.26,False,,,,4.1447,0.0,,
44,74.15,False,,,,3.5889,0.0,,
45,53.57,False,,,,3.9218,0.0,,
46,36.95,False,,,,1.6931,0.0,,
47,54.95,False,,,,1.6524,0.0,,
48,90.78,False,,,,4.4683,0.0,,
49,89.27,False,,,,3.6889,0.0,,
50,32.81,False,,,,4.4434,0.0,,
51,82.41,False,,,,2.7457,0.0,,
52,111.34,False,,,,2.5961,0.0,,
53,72.49,False,,,,3.5064,0.0,,
54,42.72,False,,,,3.3213,0.0,,
55,77.55,False,,,,2.9677,0.0,,
56,55.03,False,,,,4.5458,0.0,,
57,71.29,False,,,,3.9989,0.0,,
58,116.85,False,,,,2.4324,0.0,,
59,79.83,False,,,,2.923,0.0,,
60,23.13,False,,,,1.4824,0.0,,
61,42.07,False,,,,4.4244,0.0,,
62,110.97,False,,,,3.1601,0.0,,
63,68.8,False,,,,3.5118,0.0,,
64,34.44,False,,,,2.8934,0.0,,
65,71.4,False,,,,3.4304,0.0,,
66,78.31,False,,,,2.5787,0.0,,
67,43.7,False,,,,3.4526,0.0,,
68,69.57,False,,,,2.7991,0.0,,
69,26.66,False,,,,4.3372,0.0,,
70,28.96,False,,,,2.607,0.0,,
71,73.91,False,,,,3.1061,0.0,,
72,106.91,False,,,,2.5978,0.0,,
73,19.67,False,,,,2.7805,0.0,,
74,70.67,False,,,,2.0695,0.0,,
75,80.11,False,,,,3.6973,0.0,,
76,9.78,False,,,,3.403,0.0,,
77,63.38,False,,,,2.5781,0.0,,
78,56.39,False,,,,1.7621,0.0,,
79,59.74,False,,,,3.1368,0.0,,
80,114.14,False,,,,3.6802,0.0,,
81,103.56,False,,,,1.6292,0.0,,
82,6.58,False,,,,2.3543,0.0,,
83,47.58,False,,,,1.2857,0.0,,
84,46.64,False,,,,1.5513,0.0,,
85,65.16,False,,,,5.0164,0.0,,
86,48.97,False,,,,4.0744,0.0,,
87,22.82,False,,,,2.8539,0.0,,
88,77.74,False,,,,2.3949,0.0,,
89,38.0,False,,,,2.5531,0.0,,
90,86.63,False,,,,2.9057,0.0,,
91,95.38,False,,,,2.4419,0.0,,
92,47.44,False,,,,4.3087,0.0,,
93,73.87,False,,,,2.3391,0.0,,
94,49.45,False,,,,3.0307,0.0,,
95,88.33,False,,,,3.1598,0.0,,
96,43.68,False,,,,3.1988,0.0,,
97,89.57,False,,,,4.5798,0.0,,
98,26.99,False,,,,2.806,0.0,,
99,86.81,False,,,,2.6716,0.0,,
100,113.5,False,,,,2.2123,0.0,,
